公司代码 	公司简称 	A股代码	A股简称	A股上市日期	A股总股本	A股流通股本	
603797	  联泰环保	  603797	  联泰环保	  2017-04-13	  21334.00	  5334.00	  
603798	  康普顿	  603798	  康普顿	  2016-04-06	  20000.00	  8540.00	  
603799	  华友钴业	  603799	  华友钴业	  2015-01-29	  59267.66	  27127.20	  
603800	  道森股份	  603800	  道森股份	  2015-12-10	  20800.00	  6760.00	  
603801	  志邦股份	  603801	  志邦股份	  2017-06-30	  16000.00	  4000.00	  
603803	  瑞斯康达	  603803	  瑞斯康达	  2017-04-20	  42105.56	  5680.00	  
603806	  福斯特	  603806	  福斯特	  2014-09-05	  40200.00	  40200.00	  
603808	  歌力思	  603808	  歌力思	  2015-04-22	  33730.20	  11314.57	  
603811	  诚意药业	  603811	  诚意药业	  2017-03-15	  8520.00	  2130.00	  
603813	  原尚股份	  603813	  原尚股份	  2017-09-18	  8827.00	  2207.00	  
603816	  顾家家居	  603816	  顾家家居	  2016-10-14	  41250.00	  8910.00	  
603817	  海峡环保	  603817	  海峡环保	  2017-02-20	  45000.00	  11250.00	  
603818	  曲美家居	  603818	  曲美家居	  2015-04-22	  48412.00	  13160.80	  
603819	  神力股份	  603819	  神力股份	  2016-11-25	  12000.00	  3000.00	  
603822	  嘉澳环保	  603822	  嘉澳环保	  2016-04-28	  7335.00	  4060.00	  
603823	  百合花	  603823	  百合花	  2016-12-20	  22500.00	  4500.00	  
603825	  华扬联众	  603825	  华扬联众	  2017-08-02	  16000.00	  4000.00	  
603826	  坤彩科技	  603826	  坤彩科技	  2017-04-14	  36000.00	  9000.00	  
603828	  柯利达	  603828	  柯利达	  2015-02-26	  33025.66	  10821.60	  
603829	  洛凯股份	  603829	  洛凯股份	  2017-10-17	  16000.00	  4000.00	  
603833	  欧派家居	  603833	  欧派家居	  2017-03-28	  42059.65	  4151.00	  
603838	  四通股份	  603838	  四通股份	  2015-07-01	  26668.00	  9728.00	  
603839	  安正时尚	  603839	  安正时尚	  2017-02-14	  28906.06	  7126.00	  
603843	  正平股份	  603843	  正平股份	  2016-09-05	  40000.30	  19283.63	  
603855	  华荣股份	  603855	  华荣股份	  2017-05-24	  33107.00	  8277.00	  
603858	  步长制药	  603858	  步长制药	  2016-11-18	  68180.00	  6980.00	  
603859	  能科股份	  603859	  能科股份	  2016-10-21	  11356.00	  4989.00	  
603860	  中公高科	  603860	  中公高科	  2017-08-02	  6668.00	  1668.00	  
603861	  白云电器	  603861	  白云电器	  2016-03-22	  40910.00	  12108.53	  
603866	  桃李面包	  603866	  桃李面包	  2015-12-22	  45012.60	  5917.73	  
603868	  飞科电器	  603868	  飞科电器	  2016-04-18	  43560.00	  4360.00	  
603869	  北部湾旅	  603869	  北部湾旅	  2015-03-26	  34880.63	  11181.16	  
603877	  太平鸟	  603877	  太平鸟	  2017-01-09	  48093.24	  5500.00	  
603878	  武进不锈	  603878	  武进不锈	  2016-12-19	  20200.00	  5050.00	  
603879	  永悦科技	  603879	  永悦科技	  2017-06-14	  14400.00	  3600.00	  
603880	  南卫股份	  603880	  南卫股份	  2017-08-07	  10000.00	  2500.00	  
603881	  数据港	  603881	  数据港	  2017-02-08	  21058.65	  5265.00	  
603882	  金域医学	  603882	  金域医学	  2017-09-08	  45788.46	  6868.00	  
603883	  老百姓	  603883	  老百姓	  2015-04-23	  26700.00	  8412.32	  
603885	  吉祥航空	  603885	  吉祥航空	  2015-05-27	  179701.35	  53701.35	  
603886	  元祖股份	  603886	  元祖股份	  2016-12-28	  24000.00	  5999.68	  
603887	  城地股份	  603887	  城地股份	  2016-10-10	  10300.00	  5779.18	  
603888	  新华网	  603888	  新华网	  2016-10-28	  51902.94	  17647.00	  
603889	  新澳股份	  603889	  新澳股份	  2014-12-31	  39365.11	  14358.52	  
603896	  寿仙谷	  603896	  寿仙谷	  2017-05-10	  13980.00	  3495.00	  
603898	  好莱客	  603898	  好莱客	  2015-02-17	  31811.83	  8900.40	  
603899	  晨光文具	  603899	  晨光文具	  2015-01-27	  92000.00	  22400.00	  
603900	  通灵珠宝	  603900	  通灵珠宝	  2016-11-23	  34047.38	  8511.85	  
603901	  永创智能	  603901	  永创智能	  2015-05-29	  40000.00	  15400.00	  
603903	  中持股份	  603903	  中持股份	  2017-03-14	  10243.80	  2560.95	  
603906	  龙蟠科技	  603906	  龙蟠科技	  2017-04-10	  20800.00	  5200.00	  
603908	  牧高笛	  603908	  牧高笛	  2017-03-07	  6669.00	  1669.00	  
603909	  合诚股份	  603909	  合诚股份	  2016-06-28	  10000.00	  2500.00	  
603912	  佳力图	  603912	  佳力图	  2017-11-01	  14800.00	  3700.00	  
603918	  金桥信息	  603918	  金桥信息	  2015-05-28	  17732.50	  12334.40	  
603919	  金徽酒	  603919	  金徽酒	  2016-03-10	  36400.00	  11583.85	  
603920	  世运电路	  603920	  世运电路	  2017-04-26	  40180.00	  8880.00	  
603922	  金鸿顺	  603922	  金鸿顺	  2017-10-23	  12800.00	  3200.00	  
603926	  铁流股份	  603926	  铁流股份	  2017-05-10	  12000.00	  3000.00	  
603928	  兴业股份	  603928	  兴业股份	  2016-12-12	  20160.00	  5040.00	  
603929	  亚翔集成	  603929	  亚翔集成	  2016-12-30	  21336.00	  5336.00	  
603933	  睿能科技	  603933	  睿能科技	  2017-07-06	  10267.00	  2567.00	  
603936	  博敏电子	  603936	  博敏电子	  2015-12-09	  16735.00	  5610.00	  
603937	  丽岛新材	  603937	  丽岛新材	  2017-11-02	  20888.00	  5222.00	  
603938	  三孚股份	  603938	  三孚股份	  2017-06-28	  15016.66	  3755.66	  
603939	  益丰药房	  603939	  益丰药房	  2015-02-17	  36269.47	  19870.27	  
603955	  大千生态	  603955	  大千生态	  2017-03-10	  8700.00	  2175.00	  
603958	  哈森股份	  603958	  哈森股份	  2016-06-29	  21736.00	  6599.90	  
603959	  百利科技	  603959	  百利科技	  2016-05-17	  22400.00	  10640.00	  
603960	  克来机电	  603960	  克来机电	  2017-03-14	  10400.00	  2600.00	  
603963	  大理药业	  603963	  大理药业	  2017-09-22	  10000.00	  2500.00	  
603966	  法兰泰克	  603966	  法兰泰克	  2017-01-25	  16000.00	  4000.00	  
603968	  醋化股份	  603968	  醋化股份	  2015-05-18	  20448.00	  13660.00	  
603969	  银龙股份	  603969	  银龙股份	  2015-02-27	  40000.00	  15263.05	  
603976	  正川股份	  603976	  正川股份	  2017-08-22	  10800.00	  2700.00	  
603977	  国泰集团	  603977	  国泰集团	  2016-11-11	  22108.00	  5528.00	  
603978	  深圳新星	  603978	  深圳新星	  2017-08-07	  8000.00	  2000.00	  
603979	  金诚信	  603979	  金诚信	  2015-06-30	  58500.00	  24316.03	  
603980	  吉华集团	  603980	  吉华集团	  2017-06-15	  50000.00	  10000.00	  
603985	  恒润股份	  603985	  恒润股份	  2017-05-05	  8000.00	  2000.00	  
603986	  兆易创新	  603986	  兆易创新	  2016-08-18	  20269.40	  14734.54	  
603987	  康德莱	  603987	  康德莱	  2016-11-21	  31543.50	  7890.00	  
603988	  中电电机	  603988	  中电电机	  2014-11-04	  8000.00	  2240.00	  
603989	  艾华集团	  603989	  艾华集团	  2015-05-15	  30000.00	  8437.50	  
603990	  麦迪科技	  603990	  麦迪科技	  2016-12-08	  8092.93	  2000.00	  
603991	  至正股份	  603991	  至正股份	  2017-03-08	  7453.50	  1870.00	  
603993	  洛阳钼业	  603993	  洛阳钼业	  2012-10-09	  2159924.06	  1688719.87	  
603996	  中新科技	  603996	  中新科技	  2015-12-22	  30015.00	  10327.50	  
603997	  继峰股份	  603997	  继峰股份	  2015-03-02	  63000.00	  17100.00	  
603998	  方盛制药	  603998	  方盛制药	  2014-12-05	  43093.65	  26917.72	  
603999	  读者传媒	  603999	  读者传媒	  2015-12-10	  57600.00	  23040.00	  
